Name;Description;Ingredients;Preparation;Calories_kcal
Pasta - Tomaten-Zucchini-Pasta mit Hähnchen;Sättigende Pasta mit Tomatensauce, Gemüse und magerem Hähnchen.;Teigwaren eifrei, roh:110|Olivenöl:10|Speisezwiebel roh:50|Knoblauch roh:5|Tomaten passiert/Tomatenpüree:180|Tomatenmark:15|Zucchini roh:90|Gemüsepaprika rot, roh:70|Hähnchen Brust, ohne Haut, roh:120|Mozzarella mind. 45 % Fett i. Tr.:25|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Pasta in Salzwasser bissfest kochen und etwas Kochwasser aufheben.<br>Gemüse und Protein vorbereiten.<br>Zwiebel und Knoblauch in Öl anschwitzen.<br>Gemüse zugeben und garen, dann Sauce oder Tomaten einrühren.<br>Pasta unterheben und mit etwas Kochwasser cremig ziehen lassen.<br>Abschmecken und servieren.<br>Kalorien: ca. 800 kcal.;800
Pasta - Vollkornpasta mit Lachs und Spinat;Cremige Vollkornpasta mit Lachs, Spinat und etwas Sahne.;Vollkornteigwaren eifrei, roh:100|Olivenöl:8|Speisezwiebel roh:40|Knoblauch roh:5|Spinat roh:120|Lachs roh:120|Schlagsahne mind. 30 % Fett:40|Parmesan mind. 30 % Fett i. Tr.:15|Zitronensaft:10|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Pasta in Salzwasser bissfest kochen und etwas Kochwasser aufheben.<br>Gemüse und Protein vorbereiten.<br>Zwiebel und Knoblauch in Öl anschwitzen.<br>Gemüse zugeben und garen, dann Sauce oder Tomaten einrühren.<br>Pasta unterheben und mit etwas Kochwasser cremig ziehen lassen.<br>Abschmecken und servieren.<br>Kalorien: ca. 870 kcal.;870
Pasta - Champignon-Erbsen-Pasta;Vegetarische Pasta mit Champignons, Erbsen und Gouda.;Teigwaren eifrei, roh:105|Olivenöl:10|Speisezwiebel roh:50|Knoblauch roh:5|Champignon roh:150|Erbse grün, tiefgefroren:90|Milch fettarm, frisch, 1,5 % Fett, pasteurisiert:120|Gouda 48 % Fett i. Tr.:30|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Pasta in Salzwasser bissfest kochen und etwas Kochwasser aufheben.<br>Gemüse und Protein vorbereiten.<br>Zwiebel und Knoblauch in Öl anschwitzen.<br>Gemüse zugeben und garen, dann Sauce oder Tomaten einrühren.<br>Pasta unterheben und mit etwas Kochwasser cremig ziehen lassen.<br>Abschmecken und servieren.<br>Kalorien: ca. 760 kcal.;760
Pasta - Thunfisch-Tomaten-Pasta;Schnelle Pasta mit Thunfisch, Tomate und Rucola.;Teigwaren eifrei, roh:110|Olivenöl:8|Speisezwiebel roh:50|Knoblauch roh:5|Tomaten passiert/Tomatenpüree:200|Thunfisch im eigenen Saft, Konserve, abgetropft:120|Rucola roh:40|Oliven geschwärzt, in Salzlake, abgetropft:30|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Pasta in Salzwasser bissfest kochen und etwas Kochwasser aufheben.<br>Gemüse und Protein vorbereiten.<br>Zwiebel und Knoblauch in Öl anschwitzen.<br>Gemüse zugeben und garen, dann Sauce oder Tomaten einrühren.<br>Pasta unterheben und mit etwas Kochwasser cremig ziehen lassen.<br>Abschmecken und servieren.<br>Kalorien: ca. 700 kcal.;700
Pasta - Vegane Linsen-Bolognese;Pflanzliche Bolognese mit roten Linsen und Gemüse.;Vollkornteigwaren eifrei, roh:100|Olivenöl:10|Speisezwiebel roh:60|Knoblauch roh:5|Karotte/Möhre, roh:80|Bleichsellerie roh:60|Tomaten passiert/Tomatenpüree:220|Tomatenmark:20|Linse rot reif:70|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Pasta in Salzwasser bissfest kochen und etwas Kochwasser aufheben.<br>Gemüse und Protein vorbereiten.<br>Zwiebel und Knoblauch in Öl anschwitzen.<br>Gemüse zugeben und garen, dann Sauce oder Tomaten einrühren.<br>Pasta unterheben und mit etwas Kochwasser cremig ziehen lassen.<br>Abschmecken und servieren.<br>Kalorien: ca. 830 kcal.;830
Pasta - Broccoli-Feta-Pasta;Herzhafte Pasta mit Broccoli, Feta und Zitronennote.;Teigwaren eifrei, roh:105|Olivenöl:10|Knoblauch roh:5|Broccoli roh:160|Feta mind. 45 % Fett i. Tr.:50|Joghurt mild, mind. 3,5 % Fett:80|Zitronensaft:10|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Pasta in Salzwasser bissfest kochen und etwas Kochwasser aufheben.<br>Gemüse und Protein vorbereiten.<br>Zwiebel und Knoblauch in Öl anschwitzen.<br>Gemüse zugeben und garen, dann Sauce oder Tomaten einrühren.<br>Pasta unterheben und mit etwas Kochwasser cremig ziehen lassen.<br>Abschmecken und servieren.<br>Kalorien: ca. 720 kcal.;720
Bowl - Quinoa-Kichererbsen-Bowl;Frische Bowl mit Quinoa, Kichererbsen und Avocado.;Quinoa weiß, roh:80|Kichererbse reif, Konserve, abgetropft:130|Avocado roh:70|Gurke roh:100|Tomate roh:120|Rucola roh:35|Olivenöl:10|Zitronensaft:12|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Getreide oder Sättigungsbeilage nach Packungsangabe garen.<br>Gemüse waschen und mundgerecht schneiden.<br>Protein anbraten oder erwärmen.<br>Alles in einer Schüssel anrichten.<br>Dressing aus Öl, Säure und Würzzutaten verrühren und darübergeben.<br>Kalorien: ca. 700 kcal.;700
Bowl - Reis-Hähnchen-Bowl;Reis-Bowl mit Hähnchen, Paprika und Broccoli.;Reis parboiled, poliert, roh:85|Hähnchen Brust, ohne Haut, roh:130|Broccoli roh:140|Gemüsepaprika gelb, roh:90|Sojasauce/Sojasoße:15|Rapsöl/Rüböl:10|Knoblauch roh:5|Pfeffer schwarz, getrocknet:1;Getreide oder Sättigungsbeilage nach Packungsangabe garen.<br>Gemüse waschen und mundgerecht schneiden.<br>Protein anbraten oder erwärmen.<br>Alles in einer Schüssel anrichten.<br>Dressing aus Öl, Säure und Würzzutaten verrühren und darübergeben.<br>Kalorien: ca. 610 kcal.;610
Bowl - Bulgur-Feta-Bowl;Mediterrane Bowl mit Bulgur, Feta und Gemüse.;Bulgur (Hartweizen) roh:85|Feta mind. 45 % Fett i. Tr.:60|Gurke roh:100|Tomate roh:120|Gemüsepaprika rot, roh:80|Oliven grün, gesäuert, abgetropft:35|Olivenöl:10|Zitronensaft:10|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Getreide oder Sättigungsbeilage nach Packungsangabe garen.<br>Gemüse waschen und mundgerecht schneiden.<br>Protein anbraten oder erwärmen.<br>Alles in einer Schüssel anrichten.<br>Dressing aus Öl, Säure und Würzzutaten verrühren und darübergeben.<br>Kalorien: ca. 680 kcal.;680
Bowl - Wildreis-Lachs-Bowl;Nährstoffreiche Bowl mit Wildreis, Lachs und Spinat.;Wildreis roh:80|Lachs roh:130|Spinat roh:100|Avocado roh:60|Gurke roh:80|Sojasauce/Sojasoße:12|Sesam:8|Rapsöl/Rüböl:8;Getreide oder Sättigungsbeilage nach Packungsangabe garen.<br>Gemüse waschen und mundgerecht schneiden.<br>Protein anbraten oder erwärmen.<br>Alles in einer Schüssel anrichten.<br>Dressing aus Öl, Säure und Würzzutaten verrühren und darübergeben.<br>Kalorien: ca. 760 kcal.;760
